0.01,0.6,25,25
0.01,0.6,25,50
0.01,0.6,25,100
0.01,0.6,50,25
0.01,0.6,50,50
0.01,0.6,50,100
0.01,0.6,100,25
0.01,0.6,100,50
0.01,0.6,100,100
0.01,0.8,25,25
0.01,0.8,25,50
0.01,0.8,25,100
0.01,0.8,50,25
0.01,0.8,50,50
0.01,0.8,50,100
0.01,0.8,100,25
0.01,0.8,100,50
0.01,0.8,100,100
0.01,1,25,25
0.01,1,25,50
0.01,1,25,100
0.01,1,50,25
0.01,1,50,50
0.01,1,50,100
0.01,1,100,25
0.01,1,100,50
0.01,1,100,100
0.05,0.6,25,25
0.05,0.6,25,50
0.05,0.6,25,100
0.05,0.6,50,25
0.05,0.6,50,50
0.05,0.6,50,100
0.05,0.6,100,25
0.05,0.6,100,50
0.05,0.6,100,100
0.05,0.8,25,25
0.05,0.8,25,50
0.05,0.8,25,100
0.05,0.8,50,25
0.05,0.8,50,50
0.05,0.8,50,100
0.05,0.8,100,25
0.05,0.8,100,50
0.05,0.8,100,100
0.05,1,25,25
0.05,1,25,50
0.05,1,25,100
0.05,1,50,25
0.05,1,50,50
0.05,1,50,100
0.05,1,100,25
0.05,1,100,50
0.05,1,100,100
0.1,0.6,25,25
0.1,0.6,25,50
0.1,0.6,25,100
0.1,0.6,50,25
0.1,0.6,50,50
0.1,0.6,50,100
0.1,0.6,100,25
0.1,0.6,100,50
0.1,0.6,100,100
0.1,0.8,25,25
0.1,0.8,25,50
0.1,0.8,25,100
0.1,0.8,50,25
0.1,0.8,50,50
0.1,0.8,50,100
0.1,0.8,100,25
0.1,0.8,100,50
0.1,0.8,100,100
0.1,1,25,25
0.1,1,25,50
0.1,1,25,100
0.1,1,50,25
0.1,1,50,50
0.1,1,50,100
0.1,1,100,25
0.1,1,100,50
0.1,1,100,100